,Status_id,Datetime,Day_id,User_id,User_name,User_screen_name,Text,Retweet_Count,Favorite_Count,Is_Retweet,Full_Text,Sentiment_score1,Sentiment_score2,Sentiment_pool
476,1266596775386906624,2020-05-30 00:06:18-05:00,05302020,230299157,Edgar E. Espinoza A,eudorito,@mateoizquierd0 No hay tal educación virtual creo que es una VAGANCIA VIRITUAL.SON los átomos cuánticos del vago Le… https://t.co/7z4idelEiy,1,2,False,"@mateoizquierd0 No hay tal educación virtual creo que es una VAGANCIA VIRITUAL.SON los átomos cuánticos del vago Lenín Moreno  que nos está infectando. ..revise como en países como SUIZA,FRANCIA,JAPÓN la PRIMERA PRIORIDAD ES QUE SE REABRAN LAS CLASES....NO A LA VAGANCIA",0.2745488,0.47085482,0.37270182
475,1266602505720467457,2020-05-30 00:29:04-05:00,05302020,1266238611252408320,luigi cobb,luigicobb1,@Lenin @DrJuanCZevallos Ojalá renuncies sin vergüenza que te robas la plata de los ecuatorianos y en esta pandemia… https://t.co/9hClOIL1NJ,0,0,False,@Lenin @DrJuanCZevallos Ojalá renuncies sin vergüenza que te robas la plata de los ecuatorianos y en esta pandemia se notó lo ineficaz ke eres moreno pero oajala lo que robes y permitas robar te sirva para comprar algo de dignidad,0.48638862,0.38139662,0.4338926
474,1266602518764818432,2020-05-30 00:29:07-05:00,05302020,247174587,Daniel pardo,danielsalcan,@camilaperezmusi Lenin Moreno  EN 5...4...3..2 : VENEZUELA!!,0,1,False,@camilaperezmusi Lenin Moreno  EN 5...4...3..2 : VENEZUELA!!,0.42157236,0.8417399,0.6316561
473,1266603266332397569,2020-05-30 00:32:05-05:00,05302020,372539755,Luis Palacios,l3pp84,@ComunicacionEc @Lenin Vómito! Es normal cuando escucho y veo a Moreno.,0,1,False,@ComunicacionEc @Lenin Vómito! Es normal cuando escucho y veo a Moreno.,0.4931871,0.42823958,0.46071333
472,1266603330962415617,2020-05-30 00:32:21-05:00,05302020,456161269,NotiCiertas Comunicación Ec,NotiCiertas,"🔴🔴 #ATENCION
Somos la vergüenza del mundo, hasta la prensa internacional se burla de @Lenin por la supuesta video l… https://t.co/9SqCuM5Tor",108,120,False,"🔴🔴 #ATENCION
Somos la vergüenza del mundo, hasta la prensa internacional se burla de @Lenin por la supuesta video llamada a Angela merkel

https://t.co/U8YytXsQ3D",0.9206766,0.23463783,0.5776572
471,1266603576241111041,2020-05-30 00:33:19-05:00,05302020,232699591,Miguel Rosales,Mikelarre69,"Los ""progre-sismos"" también echan moco. Nos quejamos de Trump, Bolsonaro, Piñera, Lenin Moreno, etc. Pero AMLO en M… https://t.co/VN0btfwGOq",1,3,False,"Los ""progre-sismos"" también echan moco. Nos quejamos de Trump, Bolsonaro, Piñera, Lenin Moreno, etc. Pero AMLO en México también gana hectáreas a los cementerios por el COVID-19 y su política económica del ""siga, siga"". Chingados los pobres... https://t.co/k5MSz2ZQHN",0.7974038,0.4600214,0.6287126
470,1266604937934450692,2020-05-30 00:38:44-05:00,05302020,1087170871062614016,Taza De Leche Fria,ComePotos3000,@salamidraws Mejor preguntale a Lenin Moreno,0,1,False,@salamidraws Mejor preguntale a Lenin Moreno,0.37799788,0.90203476,0.6400163
469,1266605194357485568,2020-05-30 00:39:45-05:00,05302020,133477784,Luis Monge Espinel,LuisMongeE,"#Ecuador: Apenas 2 % de la población cree que Moreno ha manejado ""muy bien"" la crisis sanitaria ante #coronavirus ▶️ https://t.co/OuUuNS8Cl2",7,6,False,"#Ecuador: Apenas 2 % de la población cree que Moreno ha manejado ""muy bien"" la crisis sanitaria ante #coronavirus ▶️ https://t.co/OuUuNS8Cl2",0.80067146,0.23141435,0.5160429
468,1266606313506836480,2020-05-30 00:44:12-05:00,05302020,230299157,Edgar E. Espinoza A,eudorito,@ecuainm_oficial @Lenin YA ERA HORA LA VAGANCIA CUÁNTICA YA FAMOSA DE MORENO NOS ESTABA CONTAGIANDO,0,0,False,@ecuainm_oficial @Lenin YA ERA HORA LA VAGANCIA CUÁNTICA YA FAMOSA DE MORENO NOS ESTABA CONTAGIANDO,0.8383517,0.37429386,0.60632277
467,1266607362682621952,2020-05-30 00:48:22-05:00,05302020,1249896287761203201,Héctor Guerrero,guerrerocabrero,"@PolyUgarteG Pero que tiene que ver Correa con esto ? Se pasan ya con esa retórica de que la culpa es de Correa, es… https://t.co/k1sEGb3XQL",0,0,False,"@PolyUgarteG Pero que tiene que ver Correa con esto ? Se pasan ya con esa retórica de que la culpa es de Correa, estamos en 2020 en el gobierno de Lenin Moreno, quieren desviar la atención de los que están dejando el país en pedazos como es @Lenin y sus socios de CREO, con otritos más",0.9882152,0.021642417,0.5049288
