,Status_id,Datetime,Day_id,User_id,User_name,User_screen_name,Text,Retweet_Count,Favorite_Count,Is_Retweet,Full_Text,Sentiment_score1,Sentiment_score2,Sentiment_pool
779,1265145730928275457,2020-05-26 00:00:22-05:00,05262020,2608857756,Frank Martin,stitchengine1,LEGO Zombie  Infection https://t.co/LcGA9LPdsR https://t.co/5LAJih5SHG,0,0,False,LEGO Zombie  Infection https://t.co/LcGA9LPdsR https://t.co/5LAJih5SHG,0.3070574,0.89033103,0.5986942
778,1265146166607409152,2020-05-26 00:02:06-05:00,05262020,2608857756,Frank Martin,stitchengine1,Lego Zombie Infection Part 6 https://t.co/R2Fs32v2JG https://t.co/pSvHit3iaW,0,0,False,Lego Zombie Infection Part 6 https://t.co/R2Fs32v2JG https://t.co/pSvHit3iaW,0.3070574,0.86876184,0.58790964
777,1265146979694321664,2020-05-26 00:05:19-05:00,05262020,209410446,Carla González,carlishie,@HazelGaRo @WARPmagazine @gorillaz @LEGO_Group Meeeee la vas a comprar?,0,0,False,@HazelGaRo @WARPmagazine @gorillaz @LEGO_Group Meeeee la vas a comprar?,0.2926379,0.89994985,0.59629387
776,1265148074017480704,2020-05-26 00:09:40-05:00,05262020,1249872075696697345,peachyflowerjww🙂,Bucinjww,@caratstalk Lego,0,0,False,@caratstalk Lego,0.3070574,0.89033103,0.5986942
775,1265148554789572608,2020-05-26 00:11:35-05:00,05262020,3112035659,DominicanosNYC,DominicanosNYC,"Pichincha, la batalla que legó libertad https://t.co/Vl2Br9VgUJ",0,0,False,"Pichincha, la batalla que legó libertad https://t.co/Vl2Br9VgUJ",0.3063454,0.6390756,0.4727105
774,1265149319746686978,2020-05-26 00:14:37-05:00,05262020,112800873,Heszer Palma Sánchez,hestorvic,"@liverpoolmexico pedí una base de lego que meandaron por paqueteria @DHLMexayuda, al abrir el paquete apareció daña… https://t.co/bm13RXyk5s",0,0,False,"@liverpoolmexico pedí una base de lego que meandaron por paqueteria @DHLMexayuda, al abrir el paquete apareció dañado y doblado, me he estado tratando de comunicar pero todas sus lineas están ocupadas todo el día, que solución me dan para cambiarme el artículo?",0.3851873,0.992845,0.68901616
773,1265149912452235265,2020-05-26 00:16:59-05:00,05262020,112800873,Heszer Palma Sánchez,hestorvic,"@liverpoolmexico @Gizz_Tadeo E llegó una base de lego maltratada, me he estado tratando de comunicar pero todas sus… https://t.co/T4iZdbE5xQ",0,0,False,"@liverpoolmexico @Gizz_Tadeo E llegó una base de lego maltratada, me he estado tratando de comunicar pero todas sus lineas se encuentran ocupadas que solución me ofrecen? Quiero que la reemplacen",0.4260095,0.7225644,0.57428694
772,1265150829033598977,2020-05-26 00:20:37-05:00,05262020,1219397786216665088,limaz99,Lima99Azul,Si me acuerdo cuando una vez por la noche dije “ pinche Mont ojalá pises un lego “,0,1,False,Si me acuerdo cuando una vez por la noche dije “ pinche Mont ojalá pises un lego “,0.3127538,0.99762017,0.655187
771,1265153205023002624,2020-05-26 00:30:04-05:00,05262020,1221321520674492416,Showhbo Alex,Showhbo_Alex,"'La impresionante maqueta del #HalcónMilenario de @starwars realizada por un fan con piezas de #LEGO'
A simple vist… https://t.co/5ir8qYYb6A",0,0,False,"'La impresionante maqueta del #HalcónMilenario de @starwars realizada por un fan con piezas de #LEGO'
A simple vista, esta maqueta de Lego del Halcón Milenario hace que en comparación el Lego Halcón Milenario de 7.500 piezas se quede pequeño. https://t.co/r352NzkGuH",0.07625663,0.99376255,0.5350096
770,1265153264301101057,2020-05-26 00:30:18-05:00,05262020,1055570375323648000,#apollo⁷ ☆ blm,YE0DREAM,j balvin... ba-bad bunny Lego lego lego.. YO VIVO DIA Y NOCHE PENSANDO EN TI,0,2,False,j balvin... ba-bad bunny Lego lego lego.. YO VIVO DIA Y NOCHE PENSANDO EN TI,0.34268445,0.9992436,0.670964
769,1265154145842950146,2020-05-26 00:33:48-05:00,05262020,781572984,Ivonne💋,ivonnealfaro_,Lo armo y lo desarmo como lego😏🎶⚫️,0,0,False,Lo armo y lo desarmo como lego😏🎶⚫️,0.3070574,0.89033103,0.5986942
768,1265154417852141568,2020-05-26 00:34:53-05:00,05262020,1197776216662716416,Paranoid Android,_kenyvel,"Acabo de comprar el set de Lego de la estación espacial internacional. 

Estoy ahorrando para mi compu nueva, pero… https://t.co/7Yherrdtxq",0,1,False,"Acabo de comprar el set de Lego de la estación espacial internacional. 

Estoy ahorrando para mi compu nueva, pero ya no me podía aguantar. 
No veo la hora en que venga a Guate 😭😭",0.5462379,0.8674959,0.70686686
767,1265156764011462656,2020-05-26 00:44:12-05:00,05262020,1171245634655084545,𝕭𝖆𝖗𝖇𝖎𝖊 𝖌𝖎𝖗𝖑,Duda_cmpss,@erickyoshizane Que Lego ? An?,0,0,False,@erickyoshizane Que Lego ? An?,0.3151529,0.96425015,0.63970155
766,1265158149209612288,2020-05-26 00:49:42-05:00,05262020,1259015776742170625,Wannie 💙,itseover,@Baceotan Lego,0,0,False,@Baceotan Lego,0.3070574,0.89033103,0.5986942
765,1265158247910080512,2020-05-26 00:50:06-05:00,05262020,22065743,elkike,elkike,"Listo Shangai #lego #legoarchitecture #coleccion 

No lo hubiéramos logrado sin la arquitecta en jefe mer.mogo https://t.co/4Uacl4NgmG",0,0,False,"Listo Shangai #lego #legoarchitecture #coleccion 

No lo hubiéramos logrado sin la arquitecta en jefe mer.mogo https://t.co/4Uacl4NgmG",0.06624073,0.994997,0.5306189
764,1265158734822531073,2020-05-26 00:52:02-05:00,05262020,1061512141948170241,レゴーレム,Nm1ZgJHfE3euFlg,#レゴ #LEGO Escalator #flickr https://t.co/XbZQ3rJTwf,0,0,False,#レゴ #LEGO Escalator #flickr https://t.co/XbZQ3rJTwf,0.3070574,0.89033103,0.5986942
763,1265159001710493697,2020-05-26 00:53:06-05:00,05262020,1201986145921449985,Antonio Montoya Vidal,amontoya_rrhh,"Cada metodología persigue un objetivo muy concreto 🎯

Es toda una suerte, poder contar hoy con @mastalentocoach y q… https://t.co/IAxpoVvgVp",2,7,False,"Cada metodología persigue un objetivo muy concreto 🎯

Es toda una suerte, poder contar hoy con @mastalentocoach y que nos cuente en qué consiste la metodología Lego Serious Play

Gracias Juan Gadeo por siempre sumar ➕👏👏 

https://t.co/vXcRUVwWpM",0.21269521,0.99882466,0.6057599
762,1265159535238344704,2020-05-26 00:55:13-05:00,05262020,2859393571,Sasha - 𝘾𝙡𝙚𝙥𝙚𝙧𝙩𝙪𝙧𝙚 𝙎𝙘𝙞𝙚𝙣𝙘𝙚,KompaktCat,@indig0fox Lego Digital Designer :D,0,0,False,@indig0fox Lego Digital Designer :D,0.34549206,0.99498403,0.670238
761,1265162128589119489,2020-05-26 01:05:31-05:00,05262020,2523723264,JD,Just10Diep,@ItsViciMusic LEGO,0,1,False,@ItsViciMusic LEGO,0.3070574,0.89033103,0.5986942
760,1265162156481404931,2020-05-26 01:05:38-05:00,05262020,1156179425471475713,shane,Fineshit90,@pipehimandher LEGO,0,1,False,@pipehimandher LEGO,0.3070574,0.89033103,0.5986942
759,1265162877956026368,2020-05-26 01:08:30-05:00,05262020,1144910755092824064,J A W I L,callmejawil1,@alterbase69 lego,0,0,False,@alterbase69 lego,0.3070574,0.89033103,0.5986942
758,1265163784428982274,2020-05-26 01:12:06-05:00,05262020,415331273,Manú Patekatl K.,Manu_Patekatl,LEGO podría fabricar las figuras de Daft Punk y Gorillaz https://t.co/X0rF2EUOmR,0,0,False,LEGO podría fabricar las figuras de Daft Punk y Gorillaz https://t.co/X0rF2EUOmR,0.28741968,0.9656356,0.62652767
757,1265163920827805696,2020-05-26 01:12:38-05:00,05262020,1217651794370711552,ℭ,CarlosZetinaG,Mis manos en tu pelo encajados como Lego,0,3,False,Mis manos en tu pelo encajados como Lego,0.3799854,0.4740621,0.42702374
